Added Component: Designator=B1(Buzzer 9x5.5 mm)
Added Component: Designator=C1(3-0603_N)
Added Component: Designator=C2(3-0603_N)
Added Component: Designator=C3(6-0805_M)
Added Component: Designator=C4(6-0805_M)
Added Component: Designator=C5(6-0805_M)
Added Component: Designator=C6(6-0805_M)
Added Component: Designator=C7(6-0805_M)
Added Component: Designator=C8(6-0805_M)
Added Component: Designator=C9(6-0805_M)
Added Component: Designator=C10(6-0805_M)
Added Component: Designator=C11(6-0805_M)
Added Component: Designator=C12(3-0603_N)
Added Component: Designator=C13(3-0603_N)
Added Component: Designator=C14(3-0603_N)
Added Component: Designator=C15(3-0603_N)
Added Component: Designator=C16(3-0603_N)
Added Component: Designator=C17(3-0603_N)
Added Component: Designator=C18(3-0603_N)
Added Component: Designator=C19(3-0603_N)
Added Component: Designator=C20(3-0603_N)
Added Component: Designator=C21(3-0603_N)
Added Component: Designator=C22(C)
Added Component: Designator=C23(3-0603_N)
Added Component: Designator=C24(3-0603_N)
Added Component: Designator=C25(3-0603_N)
Added Component: Designator=D1(DL-35 - S)
Added Component: Designator=D2(6-0805 - LED)
Added Component: Designator=L1(4.5x3.2mm SMD Bobin)
Added Component: Designator=P1(Header 1.27mm 5P)
Added Component: Designator=P2(USB Mini B Female - Connfly DS1104)
Added Component: Designator=P3(HDR1X2H-180 derece)
Added Component: Designator=P5(Header 1.27mm 10P)
Added Component: Designator=P6(Header 1.27mm 10P)
Added Component: Designator=Q1(SOT23_N)
Added Component: Designator=Q2(SOT23_N)
Added Component: Designator=Q3(SOT23_N)
Added Component: Designator=R1(6-0805_M)
Added Component: Designator=R2(6-0805_M)
Added Component: Designator=R3(6-0805_M)
Added Component: Designator=R4(3-0603_N)
Added Component: Designator=R5(6-0805_M)
Added Component: Designator=R6(6-0805_M)
Added Component: Designator=R7(6-0805_M)
Added Component: Designator=R8(6-0805_M)
Added Component: Designator=R9(6-0805_M)
Added Component: Designator=R10(6-0805_M)
Added Component: Designator=R11(6-0805_M)
Added Component: Designator=R12(3-0603_N)
Added Component: Designator=R13(3-0603_N)
Added Component: Designator=R14(3-0603_N)
Added Component: Designator=R15(3-0603_N)
Added Component: Designator=R16(6-0805_M)
Added Component: Designator=R17(3-0603_N)
Added Component: Designator=R18(3-0603_N)
Added Component: Designator=R19(3-0603_N)
Added Component: Designator=R20(3-0603_N)
Added Component: Designator=R21(6-0805_M)
Added Component: Designator=R22(3-0603_N)
Added Component: Designator=R23(3-0603_N)
Added Component: Designator=R24(3-0603_N)
Added Component: Designator=U1(TSSOP-14N)
Added Component: Designator=U2(SOIJ-SM8_N)
Added Component: Designator=U3(SSOP-20)
Added Component: Designator=U4(SOT-23-CH5_M)
Added Component: Designator=U6(TSSOP-ST8_M)
Added Component: Designator=U8(LGA 16)
Added Component: Designator=U9(SOT-143B)
Added Component: Designator=Y1(3.2x2.5 mm SMD CRYSTAL)
Added Pin To Net: NetName=NetL1_2 Pin=R21-2
Added Pin To Net: NetName=VBAT Pin=R23-1
Added Pin To Net: NetName=VI2C Pin=R24-1
Added Pin To Net: NetName=NetC7_2 Pin=U1-1
Added Pin To Net: NetName=NetC9_2 Pin=U1-8
Added Pin To Net: NetName=GND Pin=U1-11
Added Pin To Net: NetName=GND Pin=U2-1
Added Pin To Net: NetName=GND Pin=U2-2
Added Pin To Net: NetName=GND Pin=U2-3
Added Pin To Net: NetName=GND Pin=U2-4
Added Pin To Net: NetName=GND Pin=U2-7
Added Pin To Net: NetName=VI2C Pin=U2-8
Added Pin To Net: NetName=GND Pin=U3-20
Added Pin To Net: NetName=NetC20_2 Pin=U4-1
Added Pin To Net: NetName=GND Pin=U4-2
Added Pin To Net: NetName=GND Pin=U4-3
Added Pin To Net: NetName=VBAT Pin=U6-3
Added Pin To Net: NetName=GND Pin=U6-4
Added Pin To Net: NetName=VI2C Pin=U6-8
Added Pin To Net: NetName=GND Pin=U8-5
Added Pin To Net: NetName=GND Pin=U8-7
Added Pin To Net: NetName=VBAT Pin=U8-8
Added Pin To Net: NetName=GND Pin=U8-10
Added Pin To Net: NetName=GND Pin=U8-12
Added Pin To Net: NetName=VBAT Pin=U8-14
Added Pin To Net: NetName=GND Pin=U9-1
Added Pin To Net: NetName=NetC20_2 Pin=U9-4
Added Pin To Net: NetName=GND Pin=Y1-2
Added Pin To Net: NetName=GND Pin=Y1-4
Added Pin To Net: NetName=+VBAT Pin=C12-2
Added Pin To Net: NetName=+VBAT Pin=C22-1
Added Pin To Net: NetName=+VBAT Pin=P1-2
Added Pin To Net: NetName=+VBAT Pin=P3-1
Added Pin To Net: NetName=+VBAT Pin=P5-1
Added Pin To Net: NetName=+VBAT Pin=Q1-2
Added Pin To Net: NetName=+VBAT Pin=R14-2
Added Pin To Net: NetName=+VBAT Pin=U3-1
Added Net: Name=+VBAT
Added Pin To Net: NetName=+VCCI2C Pin=C13-2
Added Pin To Net: NetName=+VCCI2C Pin=R12-2
Added Pin To Net: NetName=+VCCI2C Pin=R13-2
Added Pin To Net: NetName=+VCCI2C Pin=R17-2
Added Pin To Net: NetName=+VCCI2C Pin=R22-1
Added Net: Name=+VCCI2C
Added Pin To Net: NetName=+VCCRF Pin=C1-2
Added Pin To Net: NetName=+VCCRF Pin=R4-2
Added Pin To Net: NetName=+VCCRF Pin=U1-4
Added Net: Name=+VCCRF
Added Pin To Net: NetName=+VUSB Pin=C2-2
Added Pin To Net: NetName=+VUSB Pin=C21-2
Added Pin To Net: NetName=+VUSB Pin=P6-4
Added Pin To Net: NetName=+VUSB Pin=U3-17
Added Pin To Net: NetName=+VUSB Pin=U4-5
Added Net: Name=+VUSB
Added Pin To Net: NetName=2 Pin=C14-2
Added Pin To Net: NetName=2 Pin=P5-2
Added Pin To Net: NetName=2 Pin=U3-2
Added Pin To Net: NetName=2 Pin=Y1-1
Added Net: Name=2
Added Pin To Net: NetName=3 Pin=C15-2
Added Pin To Net: NetName=3 Pin=P5-3
Added Pin To Net: NetName=3 Pin=U3-3
Added Pin To Net: NetName=3 Pin=Y1-3
Added Net: Name=3
Added Pin To Net: NetName=4 Pin=P1-1
Added Pin To Net: NetName=4 Pin=P5-4
Added Pin To Net: NetName=4 Pin=R14-1
Added Pin To Net: NetName=4 Pin=U3-4
Added Net: Name=4
Added Pin To Net: NetName=5 Pin=P5-5
Added Pin To Net: NetName=5 Pin=Q1-1
Added Pin To Net: NetName=5 Pin=Q2-1
Added Pin To Net: NetName=5 Pin=U3-5
Added Net: Name=5
Added Pin To Net: NetName=6 Pin=P5-6
Added Pin To Net: NetName=6 Pin=R20-2
Added Pin To Net: NetName=6 Pin=U3-6
Added Net: Name=6
Added Pin To Net: NetName=7 Pin=P5-7
Added Pin To Net: NetName=7 Pin=R17-1
Added Pin To Net: NetName=7 Pin=U3-7
Added Net: Name=7
Added Pin To Net: NetName=8 Pin=C16-2
Added Pin To Net: NetName=8 Pin=P5-8
Added Pin To Net: NetName=8 Pin=U3-8
Added Pin To Net: NetName=8 Pin=Y2-1
Added Net: Name=8
Added Pin To Net: NetName=9 Pin=C17-2
Added Pin To Net: NetName=9 Pin=P5-9
Added Pin To Net: NetName=9 Pin=U3-9
Added Pin To Net: NetName=9 Pin=Y2-2
Added Net: Name=9
Added Pin To Net: NetName=10 Pin=P5-10
Added Pin To Net: NetName=10 Pin=R19-2
Added Pin To Net: NetName=10 Pin=U3-10
Added Net: Name=10
Added Pin To Net: NetName=11 Pin=P6-10
Added Pin To Net: NetName=11 Pin=R13-1
Added Pin To Net: NetName=11 Pin=U2-6
Added Pin To Net: NetName=11 Pin=U3-11
Added Pin To Net: NetName=11 Pin=U6-6
Added Pin To Net: NetName=11 Pin=U8-4
Added Net: Name=11
Added Pin To Net: NetName=12 Pin=P6-9
Added Pin To Net: NetName=12 Pin=R4-1
Added Pin To Net: NetName=12 Pin=U3-12
Added Net: Name=12
Added Pin To Net: NetName=13 Pin=P6-8
Added Pin To Net: NetName=13 Pin=R12-1
Added Pin To Net: NetName=13 Pin=U2-5
Added Pin To Net: NetName=13 Pin=U3-13
Added Pin To Net: NetName=13 Pin=U6-5
Added Pin To Net: NetName=13 Pin=U8-6
Added Net: Name=13
Added Pin To Net: NetName=14 Pin=P6-7
Added Pin To Net: NetName=14 Pin=U1-3
Added Pin To Net: NetName=14 Pin=U1-5
Added Pin To Net: NetName=14 Pin=U1-10
Added Pin To Net: NetName=14 Pin=U1-12
Added Pin To Net: NetName=14 Pin=U3-14
Added Net: Name=14
Added Pin To Net: NetName=15 Pin=C11-2
Added Pin To Net: NetName=15 Pin=P6-6
Added Pin To Net: NetName=15 Pin=R1-2
Added Pin To Net: NetName=15 Pin=U1-14
Added Pin To Net: NetName=15 Pin=U3-15
Added Net: Name=15
Added Pin To Net: NetName=16 Pin=P6-5
Added Pin To Net: NetName=16 Pin=R15-1
Added Pin To Net: NetName=16 Pin=U3-16
Added Net: Name=16
Added Pin To Net: NetName=18 Pin=P1-4
Added Pin To Net: NetName=18 Pin=P2-2
Added Pin To Net: NetName=18 Pin=P6-3
Added Pin To Net: NetName=18 Pin=U3-18
Added Pin To Net: NetName=18 Pin=U9-2
Added Net: Name=18
Added Pin To Net: NetName=19 Pin=P1-5
Added Pin To Net: NetName=19 Pin=P2-3
Added Pin To Net: NetName=19 Pin=P6-2
Added Pin To Net: NetName=19 Pin=R18-1
Added Pin To Net: NetName=19 Pin=U3-19
Added Pin To Net: NetName=19 Pin=U9-3
Added Net: Name=19
Added Pin To Net: NetName=NetC3_2 Pin=C3-2
Added Pin To Net: NetName=NetC3_2 Pin=R5-1
Added Pin To Net: NetName=NetC3_2 Pin=R6-2
Added Pin To Net: NetName=NetC3_2 Pin=R9-2
Added Net: Name=NetC3_2
Added Pin To Net: NetName=NetC4_1 Pin=C4-1
Added Pin To Net: NetName=NetC4_1 Pin=R7-2
Added Net: Name=NetC4_1
Added Pin To Net: NetName=NetC5_1 Pin=C5-1
Added Pin To Net: NetName=NetC5_1 Pin=D1-1
Added Pin To Net: NetName=NetC5_1 Pin=L1-1
Added Net: Name=NetC5_1
Added Pin To Net: NetName=NetC7_1 Pin=C7-1
Added Pin To Net: NetName=NetC7_1 Pin=R7-1
Added Pin To Net: NetName=NetC7_1 Pin=R10-2
Added Pin To Net: NetName=NetC7_1 Pin=U1-2
Added Net: Name=NetC7_1
Added Pin To Net: NetName=NetC8_1 Pin=C8-1
Added Pin To Net: NetName=NetC8_1 Pin=R6-1
Added Pin To Net: NetName=NetC8_1 Pin=U1-6
Added Net: Name=NetC8_1
Added Pin To Net: NetName=NetC8_2 Pin=C8-2
Added Pin To Net: NetName=NetC8_2 Pin=R8-2
Added Pin To Net: NetName=NetC8_2 Pin=R9-1
Added Pin To Net: NetName=NetC8_2 Pin=U1-7
Added Net: Name=NetC8_2
Added Pin To Net: NetName=NetC9_1 Pin=C9-1
Added Pin To Net: NetName=NetC9_1 Pin=R2-2
Added Pin To Net: NetName=NetC9_1 Pin=R3-1
Added Pin To Net: NetName=NetC9_1 Pin=R8-1
Added Pin To Net: NetName=NetC9_1 Pin=U1-9
Added Net: Name=NetC9_1
Added Pin To Net: NetName=NetC10_2 Pin=C10-2
Added Pin To Net: NetName=NetC10_2 Pin=R11-1
Added Net: Name=NetC10_2
Added Pin To Net: NetName=NetC11_1 Pin=C11-1
Added Pin To Net: NetName=NetC11_1 Pin=R1-1
Added Pin To Net: NetName=NetC11_1 Pin=R11-2
Added Pin To Net: NetName=NetC11_1 Pin=U1-13
Added Net: Name=NetC11_1
Added Pin To Net: NetName=NetC24_2 Pin=C24-2
Added Pin To Net: NetName=NetC24_2 Pin=U6-1
Added Pin To Net: NetName=NetC24_2 Pin=Y3-1
Added Net: Name=NetC24_2
Added Pin To Net: NetName=NetC25_2 Pin=C25-2
Added Pin To Net: NetName=NetC25_2 Pin=U6-2
Added Pin To Net: NetName=NetC25_2 Pin=Y3-2
Added Net: Name=NetC25_2
Added Pin To Net: NetName=NetD2_1 Pin=D2-1
Added Pin To Net: NetName=NetD2_1 Pin=R19-1
Added Net: Name=NetD2_1
Added Pin To Net: NetName=NetQ1_3 Pin=Q1-3
Added Pin To Net: NetName=NetQ1_3 Pin=Q2-3
Added Pin To Net: NetName=NetQ1_3 Pin=R21-1
Added Net: Name=NetQ1_3
Added Pin To Net: NetName=NetQ3_1 Pin=Q3-1
Added Pin To Net: NetName=NetQ3_1 Pin=R20-1
Added Net: Name=NetQ3_1
Added Pin To Net: NetName=NetR22_2 Pin=R22-2
Added Pin To Net: NetName=NetR22_2 Pin=R23-2
Added Pin To Net: NetName=NetR22_2 Pin=U8-1
Added Net: Name=NetR22_2
Added Pin To Net: NetName=NetR24_2 Pin=R24-2
Added Pin To Net: NetName=NetR24_2 Pin=U6-7
Added Net: Name=NetR24_2
Added Class: Name=AT Guard Simple Main
Added Class: Name=AT Guard Simple Memory
Added Class: Name=AT Guard Simple Mems
Added Class: Name=AT Guard Simple Power
Added Class: Name=AT Guard Simple RTC
Added Class: Name=RF_125KHz
Added Room: Name=AT Guard Simple Main
Added Room: Name=AT Guard Simple Memory
Added Room: Name=AT Guard Simple Mems
Added Room: Name=AT Guard Simple Power
Added Room: Name=AT Guard Simple RTC
Added Room: Name=RF_125KHz
